"","postal_code","ward_name"
"1","M4P","Don Valley West"
"2","M5G","University-Rosedale"
"3","M6A","Eglinton-Lawrence"
"4","M5S","Toronto Centre"
"5","M4X","Toronto Centre"
"6","M6M","York South-Weston"
"7","M6E","Davenport"
"8","M4W","Toronto Centre"
"9","M6J","University-Rosedale"
"10","M6K","Davenport"
"11","M8V","Etobicoke-Lakeshore"
"12","M6K","Parkdale-High Park"
"13","M5T","University-Rosedale"
"14","M5T","University-Rosedale"
"15","M1L","Scarborough Southwest"
"16","M6J","Davenport"
"17","M6J","University-Rosedale"
"18","M4R","Eglinton-Lawrence"
"19","M6J","Spadina-Fort York"
"20","M6N","Davenport"
"21","M6R","Parkdale-High Park"
"22","M8Y","Etobicoke-Lakeshore"
"23","M9B","Etobicoke-Lakeshore"
"24","M2L","Don Valley West"
"25","M1T","Scarborough-Agincourt"
"26","M5A","Toronto Centre"
"27","M4G","Don Valley West"
"28","M5J","Spadina-Fort York"
"29","M2N","Willowdale"
"30","M5V","Spadina-Fort York"
"31","M6J","Spadina-Fort York"
"32","M5T","Spadina-Fort York"
"33","M8Z","Etobicoke-Lakeshore"
"34","M3H","York Centre"
"35","M5J","Spadina-Fort York"
"36","M4J","Toronto-Danforth"
"37","M4L","Beaches-East York"
"38","M1E","Scarborough-Guildwood"
"39","M5S","University-Rosedale"
"40","M6J","Spadina-Fort York"
"41","M6B","Eglinton-Lawrence"
"42","M5V","Spadina-Fort York"
"43","M5V","Spadina-Fort York"
"44","M5A","Toronto Centre"
"45","M5R","University-Rosedale"
"46","M6B","Eglinton-Lawrence"
"47","M5V","Spadina-Fort York"
"48","M2M","Willowdale"
"49","M1L","Scarborough Southwest"
"50","M6G","St.Paul's"
"51","M6E","Eglinton-Lawrence"
"52","M5A","Toronto Centre"
"53","M4L","Toronto-Danforth"
"54","M3L","Humber River-Black Creek"
"55","M6E","Davenport"
"56","M5B","Toronto Centre"
"57","M5R","University-Rosedale"
"58","M5R","University-Rosedale"
"59","M6H","Davenport"
"60","M5V","Spadina-Fort York"
"61","M8W","Etobicoke-Lakeshore"
"62","M2N","Willowdale"
"63","M6G","University-Rosedale"
"64","M9B","Etobicoke-Lakeshore"
"65","M4J","Toronto-Danforth"
"66","M5J","Spadina-Fort York"
"67","M1P","Scarborough Centre"
"68","M6G","St.Paul's"
"69","M5J","Spadina-Fort York"
"70","M1N","Scarborough Southwest"
"71","M4S","St.Paul's"
"72","M6G","St.Paul's"
"73","M2H","Don Valley North"
"74","M6J","Davenport"
"75","M9W","Etobicoke North"
"76","M1V","Scarborough North"
"77","M5V","Spadina-Fort York"
"78","M6R","Parkdale-High Park"
"79","M4Y","Toronto Centre"
"80","M6P","Parkdale-High Park"
"81","M8V","Etobicoke-Lakeshore"
"82","M5A","Toronto Centre"
"83","M4C","Beaches-East York"
"84","M1N","Scarborough Southwest"
"85","M2N","Willowdale"
"86","M9P","Etobicoke Centre"
"87","M4Y","Toronto Centre"
"88","M5B","Toronto Centre"
"89","M6M","York South-Weston"
"90","M4M","Toronto-Danforth"
"91","M1R","Scarborough Centre"
"92","M5S","Toronto Centre"
"93","M6A","Eglinton-Lawrence"
"94","M1B","Scarborough-Rouge Park"
"95","M6H","Davenport"
"96","M1N","Scarborough Southwest"
"97","M6H","Davenport"
"98","M1P","Scarborough Centre"
"99","M6R","Parkdale-High Park"
"100","M5A","Toronto Centre"
"101","M5M","Eglinton-Lawrence"
