"","_id","operator_registration_number","postal_code","ward_number","ward_name"
"1",1727978,"STR-2210-HKLRVK","M4P","15.0","Don Valley West"
"2",1727979,"STR-2205-FPPVHC","M5G","11.0","University-Rosedale"
"3",1727980,"STR-2012-HRBHHK","M6A","08","Eglinton-Lawrence"
"4",1727981,"STR-2203-GGMPHF","M5S","13.0","Toronto Centre"
"5",1727982,"STR-2012-FDZBHB","M4X","13","Toronto Centre"
"6",1727983,"STR-2204-FLKBHB","M6M","5.0","York South-Weston"
"7",1727984,"STR-2212-JGRPHZ","M6E","09","Davenport"
"8",1727985,"STR-2206-FXDDVD","M4W","13.0","Toronto Centre"
"9",1727986,"STR-2301-GCKRVS","M6J","11","University-Rosedale"
"10",1727987,"STR-2108-FWMHHD","M6K","09","Davenport"
"11",1727988,"STR-2208-HZWBHM","M8V","3.0","Etobicoke-Lakeshore"
"12",1727989,"STR-2209-FSGXVC","M6K","04","Parkdale-High Park"
"13",1727990,"STR-2111-HJZKVK","M5T","11","University-Rosedale"
"14",1727991,"STR-2203-FLFHHB","M5T","11","University-Rosedale"
"15",1727992,"STR-2009-GCXPBF","M1L","20","Scarborough Southwest"
"16",1727993,"STR-2009-GLDPBG","M6J","09","Davenport"
"17",1727994,"STR-2009-GTKPBH","M6J","11","University-Rosedale"
"18",1727995,"STR-2009-HJXPBK","M4R","08","Eglinton-Lawrence"
"19",1727996,"STR-2009-HSDPBL","M6J","10","Spadina-Fort York"
"20",1727997,"STR-2009-HZKPBM","M6N","09","Davenport"
"21",1727998,"STR-2009-FFFVBB","M6R","04","Parkdale-High Park"
"22",1727999,"STR-2009-GCYVBF","M8Y","03","Etobicoke-Lakeshore"
"23",1728000,"STR-2009-HSFVBL","M9B","03","Etobicoke-Lakeshore"
"24",1728001,"STR-2009-HZLVBM","M2L","15","Don Valley West"
"25",1728002,"STR-2009-FFWHBB","M1T","22","Scarborough-Agincourt"
"26",1728003,"STR-2009-FPCHBC","M5A","13","Toronto Centre"
"27",1728004,"STR-2009-GDQHBF","M4G","15","Don Valley West"
"28",1728005,"STR-2009-GLWHBG","M5J","10","Spadina-Fort York"
"29",1728006,"STR-2009-GVCHBH","M2N","18","Willowdale"
"30",1728007,"STR-2009-GFFVBF","M5V","10","Spadina-Fort York"
"31",1728008,"STR-2009-GMLVBG","M6J","10","Spadina-Fort York"
"32",1728009,"STR-2009-GVSVBH","M5T","10","Spadina-Fort York"
"33",1728010,"STR-2009-FHCHBB","M8Z","03","Etobicoke-Lakeshore"
"34",1728011,"STR-2009-GWJHBH","M3H","06","York Centre"
"35",1728012,"STR-2009-HLWHBK","M5J","10","Spadina-Fort York"
"36",1728013,"STR-2009-FHSVBB","M4J","14","Toronto-Danforth"
"37",1728014,"STR-2009-FQYVBC","M4L","19","Beaches-East York"
"38",1728015,"STR-2009-GGLVBF","M1E","24","Scarborough-Guildwood"
"39",1728016,"STR-2009-GPSVBG","M5S","11","University-Rosedale"
"40",1728017,"STR-2009-HMLVBK","M6J","10","Spadina-Fort York"
"41",1728018,"STR-2009-FYWHBD","M6B","08","Eglinton-Lawrence"
"42",1728019,"STR-2009-GHCHBF","M5V","10","Spadina-Fort York"
"43",1728020,"STR-2009-HPCHBK","M5V","10","Spadina-Fort York"
"44",1728021,"STR-2009-HWJHBL","M5A","13","Toronto Centre"
"45",1728022,"STR-2009-JDQHBM","M5R","11","University-Rosedale"
"46",1728023,"STR-2009-GYFVBH","M6B","08","Eglinton-Lawrence"
"47",1728024,"STR-2009-HWYVBL","M5V","10","Spadina-Fort York"
"48",1728025,"STR-2009-JFFVBM","M2M","18","Willowdale"
"49",1728026,"STR-2009-FKQHBB","M1L","20","Scarborough Southwest"
"50",1728027,"STR-2009-FSWHBC","M6G","12","Toronto-St. Paul's"
"51",1728028,"STR-2009-GJJHBF","M6E","08","Eglinton-Lawrence"
"52",1728029,"STR-2009-GRQHBG","M5A","13","Toronto Centre"
"53",1728030,"STR-2009-GYWHBH","M4L","14","Toronto-Danforth"
"54",1728031,"STR-2009-HQJHBK","M3L","07","Humber River-Black Creek"
"55",1728032,"STR-2009-HXQHBL","M6E","09","Davenport"
"56",1728033,"STR-2009-JFWHBM","M5B","13","Toronto Centre"
"57",1728034,"STR-2009-FLFVBB","M5R","11","University-Rosedale"
"58",1728035,"STR-2009-GBSVBD","M5R","11","University-Rosedale"
"59",1728036,"STR-2009-FDQKPB","M6H","09","Davenport"
"60",1728037,"STR-2009-FLWKPC","M5V","10","Spadina-Fort York"
"61",1728038,"STR-2009-GCJKPF","M8W","03","Etobicoke-Lakeshore"
"62",1728039,"STR-2009-GSWKPH","M2N","18","Willowdale"
"63",1728040,"STR-2009-HBCKPJ","M6G","11","University-Rosedale"
"64",1728041,"STR-2009-FFFXPB","M9B","03","Etobicoke-Lakeshore"
"65",1728042,"STR-2009-FMLXPC","M4J","14","Toronto-Danforth"
"66",1728043,"STR-2009-FVSXPD","M5J","10","Spadina-Fort York"
"67",1728044,"STR-2009-HJYXPK","M1P","21","Scarborough Centre"
"68",1728045,"STR-2009-HZLXPM","M6G","12","Toronto-St. Paul's"
"69",1728046,"STR-2009-GLWKPG","M5J","10","Spadina-Fort York"
"70",1728047,"STR-2009-GVCKPH","M1N","20","Scarborough Southwest"
"71",1728048,"STR-2009-FPSXPC","M4S","12","Toronto-St. Paul's"
"72",1728049,"STR-2009-FWYXPD","M6G","12","Toronto-St. Paul's"
"73",1728050,"STR-2009-GFFXPF","M2H","17","Don Valley North"
"74",1728051,"STR-2009-HCYXPJ","M6J","09","Davenport"
"75",1728052,"STR-2009-HLFXPK","M9W","01","Etobicoke North"
"76",1728053,"STR-2009-GPCKPG","M1V","23","Scarborough North"
"77",1728054,"STR-2009-GWJKPH","M5V","10","Spadina-Fort York"
"78",1728055,"STR-2009-FHSXPB","M6R","04","Parkdale-High Park"
"79",1728056,"STR-2009-GGLXPF","M4Y","13","Toronto Centre"
"80",1728057,"STR-2009-GWYXPH","M6P","04","Parkdale-High Park"
"81",1728058,"STR-2009-HFFXPJ","M8V","03","Etobicoke-Lakeshore"
"82",1728059,"STR-2009-JCYXPM","M5A","13","Toronto Centre"
"83",1728060,"STR-2009-GXQKPH","M4C","19","Beaches-East York"
"84",1728061,"STR-2009-FSFXPC","M1N","20","Scarborough Southwest"
"85",1728062,"STR-2009-FZLXPD","M2N","18","Willowdale"
"86",1728063,"STR-2009-GQYXPG","M9P","02","Etobicoke Centre"
"87",1728064,"STR-2009-HWYXPL","M4Y","13","Toronto Centre"
